Q values from test run - Trial node

-2.677945044588987, 1.5088070618742802, -0.7139593874146177, 0)
(-2.664247271216121, 1.5618584604959072, -0.8215956341080033, 0)
(-2.649783477601095, 1.6071172885556162, -0.9161669894652564, 0)
(-2.6344941491974563, 1.6466742328970971, -1.00129787560861, 0)
(-2.618314331457818, 1.6817660629589457, -1.0791394790681939, 0)
(-2.601173153319209, 1.7131909704533226, -1.1510843262099457, 0)
(-2.5829933382462307, 1.741495636668764, -1.2180879419971626, 0)
(-2.5636907166275478, 1.76707100192258, -1.280833170183299, 0)
(-2.543173760111256, 1.7902060797240382, -1.3398220471846007, 0)
(-2.5213431676069717, 1.8111204791152504, -1.3954307845465208, 0)
(-2.498091544796509, 1.8299852933811227, -1.4479444749508112, 0)
(-2.473303234759209, 1.8469372669542174, -1.4975799674466694, 0)
(-2.44685437739309, 1.8620889111335415, -1.54450150346872, 0)
(-2.4186133001883023, 1.8755360994434547, -1.5888317523509188, 0)
(-2.388441372627599, 1.8873640546028274, -1.6306598361557207, 0)
(-2.356194490192345, 1.897652280583043, -1.6700473421738435, 0)
(-2.321725389192837, 1.9064787697467618, -1.707032973691457, 0)
(-2.2848870254070546, 1.913923662666678, -1.7416362773003184, 0)
(-2.2455372690184494, 1.9200724230523107, -1.7738607504950696, 0)
(-2.20354516179708, 1.9250184945654873, -1.8036965444620523, 0)
(-2.158798930342464, 1.928865322634923, -1.8311229152116257, 0)
(-2.1112158270654806, 1.931727552958607, -1.8561105304026606, 0)
(-2.060753653048625, 1.9337311665615693, -1.8786237025832986, 0)
(-2.007423486608438, 1.9350122928797937, -1.898622588112282, 0)
(-1.9513027039072615, 1.9357144757675864, -1.916065362628594, 0)
(-1.892546881191539, 1.9359842709689028, -1.9309103579506, 0)
(-1.8313987185422376, 1.9359652377501821, -1.943118122190781, 0)
(-1.7681918866447774, 1.935790643529713, -1.9526533459760154, 0)
(-1.7033478590915707, 1.9355754914697938, -1.9594865847152725, 0)
(-1.6373644905707205, 1.9354087398327486, -1.96359570156812, 0)
(-1.5707963267948966, 1.935346723603642, -1.9649669592881984, 0)
(-1.5042281630190728, 1.9354087398327486, -1.96359570156812, 0)
(-1.4382447944982226, 1.9355754914697938, -1.9594865847152725, 0)
(-1.373400766945016, 1.935790643529713, -1.9526533459760154, 0)
(-1.3101939350475555, 1.9359652377501821, -1.943118122190781, 0)
(-1.2490457723982544, 1.9359842709689028, -1.9309103579506, 0)
(-1.1902899496825317, 1.9357144757675864, -1.916065362628594, 0)
(-1.1341691669813554, 1.9350122928797937, -1.898622588112282, 0)
(-1.0808390005411683, 1.9337311665615693, -1.8786237025832986, 0)
(-1.0303768265243125, 1.931727552958607, -1.8561105304026606, 0)
(-0.982793723247329, 1.928865322634923, -1.8311229152116257, 0)
(-0.9380474917927135, 1.9250184945654873, -1.8036965444620523, 0)
(-0.8960553845713439, 1.9200724230523107, -1.7738607504950696, 0)
(-0.8567056281827387, 1.913923662666678, -1.7416362773003184, 0)
(-0.8198672643969563, 1.9064787697467618, -1.707032973691457, 0)
(-0.7853981633974483, 1.897652280583043, -1.6700473421738435, 0)
(-0.7531512809621944, 1.8873640546028274, -1.6306598361557207, 0)
(-0.722979353401491, 1.8755360994434547, -1.5888317523509188, 0)
(-0.6947382761967031, 1.8620889111335415, -1.54450150346872, 0)
(-0.668289418830584, 1.8469372669542174, -1.4975799674466694, 0)
(-0.6435011087932844, 1.8299852933811227, -1.4479444749508112, 0)
(-0.6202494859828215, 1.8111204791152504, -1.3954307845465208, 0)
(-0.5984188934785372, 1.7902060797240382, -1.3398220471846007, 0)
(-0.5779019369622457, 1.76707100192258, -1.280833170183299, 0)
(-0.5585993153435624, 1.741495636668764, -1.2180879419971626, 0)
(-0.5404195002705842, 1.7131909704533226, -1.1510843262099457, 0)
(-0.5232783221319756, 1.6817660629589457, -1.0791394790681939, 0)
(-0.507098504392337, 1.6466742328970971, -1.00129787560861, 0)
(-0.49180917598869855, 1.6071172885556162, -0.9161669894652564, 0)
(-0.4773453823736719, 1.5618584604959072, -0.8215956341080033, 0)
(-0.4636476090008061, 1.5088070618742802, -0.7139593874146177, 0)

